osm_id,name,lat,lon,state,amenity,office,social_facility,social_facility_for,addr_street,addr_suburb,addr_postcode,phone,website,email,opening_hours,wheelchair
,Ku-ring-gai Centre for Seniors,-33.7778473,151.1692319,NSW,community_centre,,,,,,,,,,,
,Adaminaby Memorial Hall,-35.995354,148.7742271,VIC,community_centre,,,,,,,,,,,
,Grace Centre,-42.9004151,147.4500707,TAS,community_centre,,,,Ralph Terrace,Rokeby,7019,,https://www.gracecentre.org.au/,,,
,Civic Centre,-18.2239394,127.6672353,WA,community_centre,,,,,,,,,,,
,Mount Liebig Hall,-23.266124,131.2735018,NT,community_centre,,,,,,,,,,,
,Balranald Senior Citizens Centre,-34.6392733,143.562177,VIC,community_centre,,,,,,,,,,,
,Country Women's Association,-34.6380033,143.5608117,VIC,community_centre,,,,,,,,,,,
,Colleen’s,-35.3546764,149.0876746,ACT,social_facility,,,,,,,,,,,
,Pegasus Healthcare,-35.3546328,149.0878564,ACT,social_facility,,,,,,,,,,,
,Canberra Wing Chun Academy,-35.3538948,149.0880808,ACT,social_facility,,,,,,,,,,,
,Taoist Tai Chi Society,-35.3540873,149.0872957,ACT,social_facility,,,,,,,,https://www.taoisttaichi.org/locations/canberra-centre/,,,
,Bamaga Community Hall,-10.8832933,142.3907386,QLD,community_centre,,,,,,,,,,,
,Defence Force Recruiting,-35.3493158,149.0893267,ACT,social_facility,employment_agency,,,,,,,,,,
,Maree Community Hall,-29.6486931,138.0629358,SA,community_centre,,,,,,,,,,,
,Youth Centre,-19.645945,134.1933881,NT,community_centre,,,,,,,,,,,
,Julakari Aboriginal Corporation,-19.6523277,134.1832159,NT,community_centre,,,,,,,,,,,
,Julakari Community Service Centre,-19.6436166,134.1911298,NT,community_centre,,,,,,,,,,,
,Civic and Community Enterprise Centre (CCEC),-28.0700535,145.6819214,QLD,community_centre,,,,,,,,,,,
,Thargomindah Community Centre,-27.9952233,143.8258826,QLD,community_centre,,,,,,,,,,,
,Maddocks Gardens,-37.8328676,147.6059635,VIC,social_facility,,assisted_living,senior,,,,,,,,
,Kanimbla Valley Community Hall,-33.6864113,150.1556948,NSW,community_centre,,,,,,,,,,,
,Strzelecki House,-38.4018457,146.1548446,VIC,social_facility,,nursing_home,senior,,,,,,,,
,Paradise Point Community Hall,-27.8855147,153.3938032,QLD,community_centre,,,,,,,,,,,
,Daintree Community Hall,-16.2501751,145.3216235,QLD,community_centre,,,,,,,,,,,
,Tully Multipurpose Centre,-17.9411185,145.9306492,QLD,community_centre,,,,,,,,,,,
,Multiple Sclerosis Society of the ACT,-35.3248477,149.0930796,ACT,social_facility,,,,,,,,,,,
,Alice River Community Association Resilience Centre,-19.3307748,146.6034624,QLD,community_centre,,,,,,,,,,,
,Child and Family Centre,-42.8122271,147.245254,TAS,community_centre,,,,,,,,,,,
,Kororoit Creek Neighbourhood House,-37.7813308,144.813371,VIC,community_centre,,,,,,,,,,,
,Windermere Child & Family Services,-38.0243522,145.3061871,VIC,social_facility,,,,,,,,,,,
,Canberra & District Historical Society,-35.3248676,149.0822384,ACT,social_facility,,,,,,,,,,,
,Woolomin Memorial Hall,-31.3027848,151.1496645,NSW,community_centre,,,,,,,,,,,
,Harvest Food Bank,-31.3503768,150.6472729,NSW,social_facility,,food_bank,,,,,,,,,
,Barraba Community Centre,-30.3733884,150.6094558,NSW,community_centre,,,,,,,,,,,
,Bingara Civic Centre,-29.8677456,150.5717825,NSW,community_centre,,,,Maitland Street,Bingara,2404,,,,,
,Domestic Violence Resource Centre Victoria,-37.799873,144.987399,VIC,,charity,,,Wellington Street,,,+61 3 9486 9866,http://www.dvrcv.org.au/,,,yes
,Upper Horton Hall,-30.1407778,150.4445447,NSW,community_centre,,,,,,,,,,,
,Down Syndrome Victoria,-37.801389,144.980001,VIC,,charity,,,Napier Street,Fitzroy,3065,,,,,
,Pilliga Community Centre,-30.3534569,148.8877314,NSW,community_centre,,,,Lagoon Street,Pilliga,2388,,,,,
,,-42.1250484,148.2856944,TAS,community_centre,,,,,,,,,,,
,Moonan Flat Community Hall,-31.9231401,151.2350899,NSW,community_centre,,,,,,,,,,,
,Gresford School of Arts,-32.4311033,151.5529359,NSW,community_centre,,,,,,,,,,,
,Monkerai Community Hall,-32.2596077,151.8486634,NSW,community_centre,,,,,,,,,,,
,Rouchel Community Hall,-32.1215359,151.0911148,NSW,community_centre,,,,,,,,,,,
,Reynella Enterprise & Youth Centre,-35.1039568,138.5288478,SA,community_centre,,,,,,,,,,,
,Reynella Model Railway Club,-35.0947269,138.5390785,SA,community_centre,,,,,,,,,,,
,Coramba Community Hall,-30.2201242,153.0125886,NSW,community_centre,,,,,,,,,,,
,Hammond Care,-34.0242858,151.1042519,NSW,social_facility,,,,,,,,,,,
,Maroubra Seals,-33.9469191,151.2556945,NSW,community_centre,,,,,,,,,,,
,Fawkner Occasional Care Centre,-37.7033631,144.9689722,VIC,community_centre,,,,,,,,,,,
,Battery Point Community Hall,-42.8896723,147.3345571,TAS,community_centre,,,,Hampden Road,Battery Point,7004,,https://www.batterypointhall.org.au/,,,
,Wallangarra School of the Arts Hall,-28.9217904,151.9314942,QLD,community_centre,,,,,,,,,,,
,Connections Community House,-37.900089,145.042204,VIC,community_centre,,,,,,,,,,,
,Scout Hall,-23.7015821,133.8575761,NT,community_centre,,,,,,,,,,,
,Corryong Memorial Hall,-36.1952558,147.9067113,VIC,community_centre,,,,Hanson Street,,,,,,,
,Batlow Literary Institute,-35.5208911,148.1474207,VIC,community_centre,,,,,,,,,,,
,Nilma Community Hall,-38.1324827,145.9861412,VIC,community_centre,,,,,,,,,,,
,Lipscombe Community Child Care,-42.9095262,147.3470952,TAS,social_facility,,,,,,,,,,,
,Tatong Community Hall,-36.730793,146.1093018,VIC,community_centre,,,,Tiger Hill Road,Tatong,3673,,,,,
,Katherine Civic Centre,-14.4597531,132.25721,NT,community_centre,,,,,,,,,,,
,Moongala Women's Community House,-37.9226982,145.0695675,VIC,community_centre,,,,Centre Road,Bentleigh East,3165,+61 3 9570 3468,,,,
,Darra Community Group Hall,-27.5765647,152.9412746,QLD,community_centre,,,,Kokoda Street,,4076,+61 7 3271 2416,http://www.darracommunitygroup.org,,,limited
,,-27.278291,152.9823577,QLD,community_centre,,,,,,,,,,,
,Meeting Rooms,-27.2782783,152.9825849,QLD,community_centre,,,,,,,,,,,
,Hopetoun Community Centre,-33.9480421,120.12665,WA,community_centre,,,,,,,,,,,
,Wontama Village,-33.2810746,149.0904943,NSW,social_facility,,nursing_home,senior,,,,,,,,
,InnerSpace,-37.7989069,144.9849795,VIC,social_facility,,outreach,drug_addicted,Johnston Street,,,+61 3 9468 2800,http://www.innerspace.org.au/,,,yes
,Holy Trinity Church Hall,-37.7395743,144.9673469,VIC,community_centre,,,,,,,,,,,
,Community Hall,-17.9281547,146.0883553,QLD,community_centre,,,,,,,,,,,
,Campbellfield Community Centre,-37.6793387,144.9658555,VIC,community_centre,,,,,,,,,,,
,Binnaway Rural Transaction Centre,-31.5521459,149.3779921,NSW,community_centre,,,,,,,,,,,
,Garah Community Hall,-29.0745642,149.6340772,QLD,community_centre,,,,Midkin Street,Garah,2405,,https://www.mpsc.nsw.gov.au/facilities/halls,Garahhallcommittee@gmail.com,,yes
,HomeGround Services,-37.804712,144.984869,VIC,,charity,,,Oxford Street,,,+61 3 9288 9611,http://www.homeground.org.au,,,
,The Society of St Vincent De Paul,-37.802205,144.978018,VIC,,charity,,,Brunswick Street,Fitzroy,3065,,,,,
,North Ringwood Community House,-37.7922359,145.2368249,VIC,community_centre,,,,,,,,,,,
,Elderly Cits.,-37.4240743,143.8955547,VIC,community_centre,,,,,,,,,,,
,Bulgarian Club,-34.9118138,138.5140699,SA,social_facility,,,,,,,,,,,
,Cherrywood Grove,-33.271905,149.0787895,NSW,social_facility,,assisted_living,senior,,,,,,,,
,Bennettswood Neighbourhood House,-37.8509119,145.1289662,VIC,community_centre,,,,Greenwood Street,Burwood,3125,,,,,
,Boronia Progress Hall,-37.862921,145.2846183,VIC,community_centre,,,,,,,,,,,
,Men's Shed,-37.4179181,143.8982932,VIC,community_centre,,,,,,,,,,,
,Bombala Community Centre,-36.9121347,149.2368993,VIC,community_centre,,,,,,,,,,,
,School of Arts Hall,-30.1027486,148.9656955,NSW,community_centre,,,,,,,,,,,
,Memorial Hall,-29.32168,151.0934617,NSW,community_centre,,,,,,,,,,,
,Community Hall,-29.4666361,150.9276636,NSW,community_centre,,,,,,,,,,,
,Community Hall,-29.0856205,152.9544499,QLD,community_centre,,,,,,,,,,,
,Memorial Hall,-28.9057848,152.7202353,QLD,community_centre,,,,,,,,,,,
,Ben Lomond Soldiers Memorial Hall,-30.0195998,151.6584672,NSW,community_centre,,,,,,,,,,,
,Tingha Town Hall,-29.9550309,151.2114127,NSW,community_centre,,,,,,,,,,,
,Coolac Memorial Hall,-34.9286596,148.1658628,VIC,community_centre,,,,,,,,,,,
,Bellevue Lodge,-33.8233708,148.6944137,NSW,social_facility,,nursing_home,,,,,,,,,
,Catherine View Gardens,-34.3243787,148.2893727,VIC,social_facility,,group_home,senior,,,,,,,,
,Southern Cross Care,-34.3227124,148.2887007,VIC,social_facility,,group_home,senior,,,,,,,,
,Collinsville Community Centre,-20.5551141,147.8483825,QLD,community_centre,,,,,,,,,,,
,Collinsville Youth Centre,-20.5562869,147.8422475,QLD,community_centre,,,,,,,,,,,
,Kogan Memorial Hall,-27.0401818,150.761405,QLD,community_centre,,,,,,,+61 474 154 811,,,,
,Multicultural Development Association,-27.4940651,153.0341015,QLD,,ngo,,,Dibley Street,,,+61 7 3337 5400,http://www.mdainc.org.au/,,"Mo,Tu,Th,Fr 09:00-17:00; We 13:00-17:00",yes
,Nugara Lodge,-39.9265742,143.852612,TAS,community_centre,,,,,,,,,,,
,Phoenix House,-39.9327339,143.8554641,TAS,community_centre,,,,,,,,,,,
,Reekara Community Complex,-39.7534157,143.9156713,TAS,community_centre,,,,,,,,,,,
,Belgium Avenue Neighbourhood House,-37.8143932,144.9975324,VIC,community_centre,,,,Belgium Avenue,Richmond,3121,+61 3 9428 1676,http://banh.org.au/,,,
,Operation Stitches Community Centre,-37.8138993,144.9972939,VIC,community_centre,,,,Vere Street,Richmond,3121,,http://www.stitches.org.au/,,,
,Box Hill South Neighbourhood House,-37.8347262,145.1277511,VIC,community_centre,,,,Kitchener Street,Box Hill South,3128,+61 3 9898 8270,https://www.bhsnh.org.au/BHSNH/,,,
,Camberwell City RSL,-37.835372,145.06207,VIC,community_centre,,,,,,,,,,,
,Corangamite Catchment Management Authority,-38.1460364,144.3603119,VIC,,ngo,,,Corio Street,,,+61 3 5232 9100,https://ccma.vic.gov.au,,,
,City Mission Client Services,-41.0529755,145.9050921,TAS,social_facility,,outreach,,Mount Street,Burnie,7320,,,,,
,Wellways,-41.0521038,145.9054425,TAS,social_facility,,outreach,,,,,,,,,
,Lifeline Central West,-33.4141816,149.5787022,NSW,,charity,,,Howick Street,Bathurst,2795,,,,,
,Nuriootpa Scout Group,-34.466535,139.0024815,SA,social_facility,,group_home,senior,,,,,,,,
,Mer Community Hall,-9.9136887,144.0412876,,community_centre,,,,,,,,,,,
,Williamstown Horse & Pony Club,-34.6561384,138.8837741,SA,social_facility,,,,,,,,http://www.whpc.com.au/,,,
,The Ponds Community Hub,-33.7055573,150.9101968,NSW,community_centre,,,,Riverbank Drive,The Ponds,,,,,,
,The Cottage Kitchen,-34.8447866,138.5039856,SA,community_centre,,,,,,,,,,,
,Yolla Memorial Hall,-41.1253474,145.7175087,TAS,community_centre,,,,,,,,,,,
,Yolla Online Access Centre,-41.1236675,145.7185122,TAS,community_centre,,,,,,,,,,,
,Anglicare House,-23.4441,144.245872,QLD,social_facility,,,,,,,,,,,
,RSL Pioneers Hostel and Retirement Home,-23.433652,144.258608,QLD,social_facility,,,senior,,,,,,,,yes
,The Salvation Army,-37.811989,144.971454,VIC,,charity,,,Bourke Street,,,+61 3 9653 3299,https://www.salvationarmy.org.au/,,,
,BoysTown,-27.1855335,153.0043695,QLD,,ngo,,,,,,,,,,
,Herald Avenue Senior Citizens Club,-32.0392928,115.8886719,WA,community_centre,,,senior,,,,,,,,
,Corowa Community Hub,-35.9979195,146.3914464,VIC,community_centre,,,,Sanger Street,Corowa,2646,,,,,
,Mackay Children And Family Centre,-21.0965441,149.1770402,QLD,community_centre,,,,,,,,,,,
,,-12.1885627,96.829514,,community_centre,,,,,,,,,,,
,Shire of Cocos Keeeling,-12.1151937,96.8935805,,community_centre,,,,,,,,,,,
,,-37.5615141,143.8884041,VIC,social_facility,,workshop,elderly,,,,,,,,
,Network West,-37.7796555,144.9195106,VIC,community_centre,,,,,,,,,,,
,Women's Health in the North,-37.7586418,145.000781,VIC,,ngo,,,High Street,Thornbury,3071,+61 3 9484 1666,https://www.whin.org.au/,,,yes
,Buffalo Lodge - Merv Burdekin Hall,-29.9574705,151.208222,NSW,community_centre,,,,,,,,,,,
,Westwood Hall,-23.6217995,150.1559179,QLD,community_centre,,,,,,,,,,,
,Jambin Community Hall,-24.1956648,150.3713246,QLD,community_centre,,,,,,,,,,,
,Dululu Hall,-23.8476292,150.2614576,QLD,community_centre,,,,,,,,,,,
,Marlborough Community Hall,-22.8130698,149.8922742,QLD,community_centre,,,,,,,,,,,
,Ogmore Community Hall,-22.6188053,149.6567976,QLD,community_centre,,,,,,,,,,,
,Comet Community Hall,-23.6050078,148.5456268,QLD,community_centre,,,,,,,,,,,
,Scout Hall,-34.0721454,150.8325092,NSW,community_centre,,,,,,,,,,,
,Aged Community Rehabilitation,-33.8000403,151.0008623,NSW,social_facility,,outreach,senior,New Street,North Parramatta,2151,,,,,
,Stroud Community Lodge,-32.4010558,151.9648989,NSW,social_facility,,assisted_living,senior,,,,,,,,
,Hunter Street Community Centre,-33.7007716,151.1008068,NSW,community_centre,,,,,,,,,,,
,Apple Tree Creek Memorial Hall,-25.2167399,152.2374349,QLD,community_centre,,,,,,,,,,,
,Opal Aged Care,-37.6447348,144.9144497,VIC,social_facility,,group_home,senior,,,,,,,,
,Beauty Point Resort,-33.9738313,151.0351051,NSW,social_facility,,group_home,senior,Bernard Road,,,,https://www.beautypointresort.com.au/,,,
,National Tertiary Education Union (NTEU),-37.7989947,144.9620705,VIC,,ngo,,,,,,,https://archive.nteu.org.au/melb/,,,
,Resthaven Community Services,-34.4489537,140.5690289,SA,,ngo,,,,,,,,,,
,Riverland Mobility Equipment,-34.4502537,140.5707497,SA,,ngo,,,Edward Street,,5333,+61 8 8584 7009,,,,
,LAAS,-34.450382,140.569175,SA,,ngo,,,,,,,,,,
,Black Springs Community Hall,-33.8479471,149.7423884,NSW,community_centre,,,,,,,,,,,
,,-36.7288218,149.9867668,VIC,community_centre,,,,,,,,,,,
,Yerrinbool Community Hall,-34.3701505,150.5426748,NSW,community_centre,,,,,,,,https://www.wsc.nsw.gov.au/Facilities/Halls/Yerrinbool-Hall,,"""Open for scheduled activites""",
,Community Resource Centre,-15.7745968,128.7395317,WA,community_centre,,,,Banksia Street,Kununurra,,,http://kununurra.crc.net.au,,Mo-Fr 09:00-15:00,
,Gallipoli Legion Club,-32.918915,151.7480771,NSW,community_centre,,,,,,,,,,,
,Kerrie Neighbourhood House,-37.8765821,145.1773686,VIC,community_centre,,,,,,,,https://www.knh.org.au/,,,
,,-27.5472443,153.2176997,QLD,community_centre,,,,,,,,,,,
,Timber Creek Aged Care,-15.6452298,130.4761513,NT,social_facility,,group_home,senior,George Street,,,,,,,
,Mi Place,-37.909101,145.352216,VIC,community_centre,,,,,,,+61 3 9754 7777,http://www.drers.org.au/mi-place,,Mo-Fr 09:30-14:00,
,Parkhurst Hall,-23.2976553,150.5130016,QLD,community_centre,,,,Yaamba Road (Bruce Highway),,,,,,,
,Country Women's Association,-23.3674614,150.4910714,QLD,community_centre,,,,,,,,,,,
,Country Women's Association,-23.2491843,150.2805995,QLD,community_centre,,,,,,,,,,,
,Marburg Community Center,-27.5660187,152.5961859,QLD,community_centre,,,,,,,,,,,
,Dreamtime Cultural Centre,-23.3155886,150.5155927,QLD,community_centre,,,,,,,+61 7 4936 1655,https://www.dreamtimecentre.com.au/,,Mo-Fr 09:00-15:00; PH off,
,Environment Center,-38.3958795,144.212625,VIC,social_facility,,,,,,,,,,,
,Money Box,-38.3976868,144.2114389,VIC,social_facility,,,,,,,,,,,
,Troop Hall,-38.3974387,144.2120236,VIC,social_facility,,,,,,,,,,,
,St Brendan's Church Hall,-37.7839102,144.9327717,VIC,community_centre,,,,,,,,,,,
,Cameron Park Community Center,-32.9097967,151.6110563,NSW,community_centre,,,,Northlakes Drive,Cameron Park,2285,,,,,
,Resthaven Mount Gambier,-37.8261257,140.7773299,SA,social_facility,,group_home,senior,Elizabeth Street,Mount Gambier,5290,,,,,
,Port Macdonnell Community Hall,-38.0531117,140.6998873,SA,community_centre,,,,,,,,,,,
,QCWA Emerald,-23.5250927,148.1617248,QLD,community_centre,,,,,,,,,,,
,,-27.4766691,153.1345874,QLD,social_facility,,,child,,,,,,,,
,Sheridan Hall,-37.9077261,145.0027298,VIC,social_facility,,nursing_home,,Marion Street,,,,,,,
,Wyreena Community Arts Centre,-37.7962828,145.2923465,VIC,community_centre,,,,Hull Road,Croydon,3136,,https://www.maroondah.vic.gov.au/wyreena,,,
,Mount Stuart Memorial Hall,-42.8722512,147.3044767,TAS,community_centre,,,,,,,,,,,
,Newbury Child and Community Centre,-37.5711185,144.9088607,VIC,community_centre,,,,Grand Boulevard,,,+61 3 9356 6729,,,,
,Bexhill Hall,-28.7660896,153.3449921,QLD,community_centre,,,,,,,,,,,
,Eltham Masonic Hall,-28.7564063,153.3951549,QLD,community_centre,,,,,,,,,,,
,Kentwell Community Center,-28.8592503,153.563742,QLD,community_centre,,,,Bangalow Road,Ballina,2478,+61 2 6687 6291,https://www.ballina.nsw.gov.au,,,yes
,Australian Red Cross,-14.4759378,132.253684,NT,,ngo,,,Riverbank Drive,,,+61 8 8971 1246,https://www.redcross.org.au/contact-nt.aspx,ntinfo@redcross.org.au,,
,Italian Aged Care - Villa Terenzio Hostel,-31.8298705,115.8222862,WA,social_facility,,group_home,senior,Kent Road,Marangaroo,6064,,,,,
,Heritage and Visitor Information Centre,-33.810337,151.0050069,NSW,community_centre,,,,Church Street,Parramatta,2150,+61 2 8839 3311,,,,yes
,Condamine Valley CWA Tearooms,-28.2165906,152.0342425,QLD,community_centre,,,,,,,,,,,
,Mayfield Senior Citizens Centre,-32.8969262,151.7367795,NSW,social_facility,,,,,,,,,,,
,Boomi First World War Memorial Hall,-28.7236906,149.5798328,QLD,community_centre,,,,,,,,,,,
,LifeTec Bundaberg Access Point,-24.885376,152.3558209,QLD,social_facility,,,,,,,,,,,
,Bittern Hall,-38.3360323,145.1775581,VIC,community_centre,,,,,,,,,,,
,Boroondara Youth Hub,-37.8232248,145.0357549,VIC,community_centre,,,,Burwood Road,Hawthorn,3122,,https://www.boroondara.vic.gov.au/residents/youth-services,,,
,Gundillion Public Hall,-35.7608327,149.6348831,VIC,community_centre,,,,Cooma Road,Krawarree,2622,,,,,
,Cypress Community Hall,-12.4058182,130.9142546,NT,community_centre,,,,Batten Road,Marrara,0812,,,,,
,Murrah Hall,-36.5324116,150.0278446,NSW,community_centre,,,,,,,,,,,
,Melbourne City Mission,-37.829115,144.963035,VIC,,charity,,,,,,,,,,
,Visible Ink Valley,-27.4545473,153.0348905,QLD,community_centre,,,,,,,,https://visibleink.org/spaces/viv,,,
,Australian Red Cross Blood Service Donor Centre,-34.9240823,138.6036444,SA,social_facility,,,,"Level 1, Regent Arcade Grenfell Street",Adelaide,5000,,,,,yes
,Moorleah Community Hall,-40.9810842,145.6162411,TAS,community_centre,,,,,,,,,,,
,Kaloma Scout Lodge,-41.0318968,145.7151721,TAS,community_centre,,,,,,,,,,,
,St Mary's House of Welcome,-37.8025178,144.9775616,VIC,,charity,,,Brunswick Street,Fitzroy,3065,,https://www.smhow.org.au/,,,
,Wynyard Axemen's Club,-40.9853093,145.728141,TAS,community_centre,,,,,,,,,,,
,Senior Citizens Club,-40.9908614,145.7286567,TAS,community_centre,,,,,,,,,,,
